train_loss: 0.053437,train_acc：0.983212
train_loss: 0.049885,train_acc：0.984275
train_loss: 0.050049,train_acc：0.984310
train_loss: 0.047561,train_acc：0.984712
train_loss: 0.051974,train_acc：0.983266
train_loss: 0.048071,train_acc：0.984614
train_loss: 0.050668,train_acc：0.983920
train_loss: 0.049268,train_acc：0.984070
train_loss: 0.048571,train_acc：0.984526
train_loss: 0.049734,train_acc：0.984159
train_loss: 0.046372,train_acc：0.985692
train_loss: 0.046903,train_acc：0.984677
train_loss: 0.046358,train_acc：0.984187
train_loss: 0.049251,train_acc：0.984744
train_loss: 0.046972,train_acc：0.985221
train_loss: 0.045341,train_acc：0.985502
train_loss: 0.048033,train_acc：0.984709
train_loss: 0.045050,train_acc：0.985429
train_loss: 0.040447,train_acc：0.986902
train_loss: 0.045172,train_acc：0.985759
train_loss: 0.046557,train_acc：0.985619
train_loss: 0.050755,train_acc：0.984197
train_loss: 0.048208,train_acc：0.984511
train_loss: 0.041195,train_acc：0.986528
train_loss: 0.046050,train_acc：0.986007
train_loss: 0.045910,train_acc：0.985284
train_loss: 0.044259,train_acc：0.985699
train_loss: 0.047310,train_acc：0.984846
train_loss: 0.047304,train_acc：0.984988
train_loss: 0.044349,train_acc：0.986016
train_loss: 0.047528,train_acc：0.984495
train_loss: 0.045349,train_acc：0.985840
train_loss: 0.047895,train_acc：0.984253
train_loss: 0.048734,train_acc：0.984513
train_loss: 0.041964,train_acc：0.986831
train_loss: 0.045957,train_acc：0.985664
train_loss: 0.046417,train_acc：0.984850
train_loss: 0.040598,train_acc：0.986388
train_loss: 0.042966,train_acc：0.985893
train_loss: 0.043296,train_acc：0.986859
train_loss: 0.043849,train_acc：0.986645
train_loss: 0.047617,train_acc：0.984872
train_loss: 0.046278,train_acc：0.984593
train_loss: 0.041559,train_acc：0.986494
train_loss: 0.046158,train_acc：0.984885
train_loss: 0.046081,train_acc：0.984765
train_loss: 0.040467,train_acc：0.986705
train_loss: 0.040007,train_acc：0.987421
train_loss: 0.042535,train_acc：0.986969
train_loss: 0.044371,train_acc：0.986971
train_loss: 0.041136,train_acc：0.987183
train_loss: 0.038158,train_acc：0.987723
train_loss: 0.043762,train_acc：0.985611
train_loss: 0.047920,train_acc：0.984575
train_loss: 0.042506,train_acc：0.986198
train_loss: 0.043345,train_acc：0.985956
train_loss: 0.045599,train_acc：0.986431
train_loss: 0.043077,train_acc：0.986189
train_loss: 0.043026,train_acc：0.986086
train_loss: 0.042041,train_acc：0.986808
train_loss: 0.039454,train_acc：0.987286
train_loss: 0.041752,train_acc：0.987006
train_loss: 0.039906,train_acc：0.987198
train_loss: 0.041080,train_acc：0.987198
train_loss: 0.039895,train_acc：0.987261
train_loss: 0.040595,train_acc：0.988000
train_loss: 0.037986,train_acc：0.988101
train_loss: 0.040217,train_acc：0.987742
train_loss: 0.045637,train_acc：0.985252
train_loss: 0.043574,train_acc：0.986777
train_loss: 0.038802,train_acc：0.987336
train_loss: 0.043796,train_acc：0.985503
train_loss: 0.041870,train_acc：0.986623
train_loss: 0.043092,train_acc：0.986243
train_loss: 0.042211,train_acc：0.985627
train_loss: 0.041649,train_acc：0.986563
